                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.72552,                 2.4781,                 1.2544,                0.00333,                      1,                0.61045,                0.51476,                 0.3913,                 3.0927,                0.98551,                  2e-05,                  2e-05,                  2e-05
                      1,                0.79204,                 2.5442,                 1.3117,                0.00333,                      1,                0.80209,                  0.696,                0.33662,                  3.073,                 0.9544,              5.802e-05,              5.802e-05,              5.802e-05
                      2,                 0.6749,                 2.3096,                 1.1797,                0.00333,                      1,                0.97932,                0.88932,                0.31842,                 3.0451,                0.94066,               9.34e-05,               9.34e-05,               9.34e-05
                      3,                0.65879,                 1.9868,                 1.2105,                0.00333,                      1,                  0.995,                0.90803,                0.35673,                 2.9863,                0.95485,             0.00012614,             0.00012614,             0.00012614
                      4,                0.61159,                 1.8136,                 1.0943,                0.00333,                      1,                  0.995,                0.88564,                 0.4251,                 2.8589,                 1.0112,             0.00015624,             0.00015624,             0.00015624
                      5,                0.56219,                 1.4937,                 1.0985,                      1,                0.34602,                0.96005,                0.85378,                0.39927,                 2.7622,                0.99536,              0.0001837,              0.0001837,              0.0001837
                      6,                0.46504,                 1.2003,                0.95862,                      1,                0.29549,                0.86634,                0.79463,                0.34169,                 2.7582,                0.94388,             0.00020852,             0.00020852,             0.00020852
                      7,                 0.5828,                 1.1384,                 1.1037,                      1,                0.23659,                0.94659,                 0.8694,                0.33371,                 2.7786,                 0.9489,              0.0002307,              0.0002307,              0.0002307
                      8,                0.47488,                 1.0393,                 0.9748,                0.93555,                      1,                0.95929,                0.87345,                0.34093,                 2.7896,                0.95602,             0.00025024,             0.00025024,             0.00025024
                      9,                0.50253,                 1.0679,                 1.0115,                0.91315,                0.52679,                0.96486,                0.88518,                0.35532,                 2.7753,                 0.9695,             0.00026714,             0.00026714,             0.00026714
                     10,                0.56068,                 1.3222,                 1.1018,                      1,                0.27852,                0.98548,                0.89369,                0.34848,                 2.7601,                0.96038,              0.0002814,              0.0002814,              0.0002814
                     11,                0.53459,                0.96498,                 1.0904,                      1,                0.29113,                0.99262,                0.91635,                0.36048,                 2.7437,                0.97181,             0.00029302,             0.00029302,             0.00029302
                     12,                0.49339,                0.93116,                 1.0433,                      1,                0.64425,                  0.995,                0.91019,                0.39861,                 2.7127,                 0.9903,               0.000302,               0.000302,               0.000302
                     13,                0.44697,                 0.8616,                0.98638,                      1,                0.85691,                  0.995,                0.91809,                0.42665,                 2.6299,                 1.0136,             0.00030834,             0.00030834,             0.00030834
                     14,                 0.4678,                 1.1071,                 1.0086,                      1,                0.95801,                  0.995,                0.90455,                 0.4334,                 2.5297,                  1.012,             0.00031204,             0.00031204,             0.00031204
                     15,                0.49943,                0.86808,                 1.0152,                      1,                0.97237,                  0.995,                0.91441,                0.43066,                 2.4184,                 1.0149,              0.0003131,              0.0003131,              0.0003131
                     16,                0.57295,                 1.0801,                 1.0486,                      1,                 0.9792,                  0.995,                0.91123,                0.40828,                  2.328,                 0.9965,             0.00031152,             0.00031152,             0.00031152
                     17,                0.50215,                0.87246,                0.95285,                      1,                0.98427,                  0.995,                0.91167,                0.39247,                 2.2074,                0.98759,              0.0003073,              0.0003073,              0.0003073
                     18,                0.58208,                0.93338,                 1.0815,                      1,                0.98985,                  0.995,                0.91006,                0.36835,                 2.0626,                0.97835,             0.00030044,             0.00030044,             0.00030044
                     19,                0.46706,                 1.1269,                 1.0425,                      1,                0.99333,                  0.995,                0.93309,                0.37833,                 2.0052,                0.98376,             0.00029094,             0.00029094,             0.00029094
                     20,                0.46281,                 1.5571,                  1.022,                      1,                0.99495,                  0.995,                0.94203,                0.37528,                 2.0622,                0.98306,              0.0002788,              0.0002788,              0.0002788
                     21,                0.35983,                 1.4393,                0.93828,                      1,                0.99341,                  0.995,                0.95211,                0.36669,                  2.175,                 1.0007,             0.00026402,             0.00026402,             0.00026402
                     22,                0.35975,                 1.4125,                0.89864,                      1,                0.97821,                  0.995,                0.94639,                0.37668,                 2.3221,                 1.0171,              0.0002466,              0.0002466,              0.0002466
                     23,                0.32594,                 1.2983,                0.85906,                      1,                0.99558,                  0.995,                0.94054,                0.38702,                 2.3665,                 1.0162,             0.00022654,             0.00022654,             0.00022654
                     24,                0.39173,                 1.3205,                0.96969,                 0.9861,                      1,                  0.995,                0.96273,                0.35703,                 2.3618,                 0.9672,             0.00020384,             0.00020384,             0.00020384
                     25,                0.34532,                 1.2751,                0.91885,                0.97965,                      1,                  0.995,                 0.9566,                0.31968,                 2.3113,                0.92732,              0.0001785,              0.0001785,              0.0001785
                     26,                 0.3954,                 1.2781,                0.92893,                0.98213,                      1,                  0.995,                0.95994,                0.29036,                 2.2313,                0.89592,             0.00015052,             0.00015052,             0.00015052
                     27,                0.35606,                  1.283,                0.85063,                0.98213,                      1,                  0.995,                0.95994,                0.29036,                 2.2313,                0.89592,              0.0001199,              0.0001199,              0.0001199
                     28,                0.32287,                 1.3169,                0.90533,                0.98854,                      1,                  0.995,                0.94419,                0.28536,                 2.1731,                0.88891,              8.664e-05,              8.664e-05,              8.664e-05
                     29,                0.30199,                 1.2219,                0.84161,                0.98623,                      1,                  0.995,                0.95141,                0.28374,                  2.101,                0.88363,              5.074e-05,              5.074e-05,              5.074e-05
