                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.65655,                 2.6421,                 1.1819,                0.00267,                      1,                0.43897,                0.37774,                0.35183,                 3.3144,                0.91241,                  2e-05,                  2e-05,                  2e-05
                      1,                0.66987,                 2.6889,                 1.1627,                0.00267,                      1,                0.58853,                0.52213,                0.30659,                 3.2932,                0.89322,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      2,                 0.7847,                 2.6216,                 1.2978,                0.00267,                      1,                0.82364,                0.74633,                0.29385,                 3.2566,                0.88821,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                0.56837,                 2.1147,                 1.1163,                0.00267,                      1,                0.84733,                 0.7552,                0.33866,                 3.2219,                0.91847,             0.00013584,             0.00013584,             0.00013584
                      4,                0.70723,                  2.029,                 1.1604,                0.00267,                      1,                 0.8777,                0.75648,                0.40782,                 3.1125,                0.94465,             0.00017287,             0.00017287,             0.00017287
                      5,                0.59783,                 1.7714,                 1.1053,                0.00631,                      1,                0.91425,                0.81649,                0.36393,                 3.0136,                0.91756,             0.00020911,             0.00020911,             0.00020911
                      6,                0.52693,                  1.366,                 1.0078,                0.09698,                      1,                0.96676,                0.86999,                0.35286,                 2.9588,                0.89623,             0.00024456,             0.00024456,             0.00024456
                      7,                0.54489,                 1.3949,                 1.0597,                      1,                0.36234,                 0.9635,                 0.8443,                0.35566,                 2.9659,                 0.9123,             0.00027921,             0.00027921,             0.00027921
                      8,                0.48574,                 1.2213,                0.97968,                0.63961,                      1,                0.96058,                0.86675,                0.34103,                 2.9802,                0.90727,             0.00031307,             0.00031307,             0.00031307
                      9,                0.49059,                 1.1569,                0.97627,                0.90578,                 0.9375,                0.98833,                0.88849,                0.33818,                 2.9599,                0.91844,             0.00034614,             0.00034614,             0.00034614
                     10,                0.65647,                 1.7129,                 1.0388,                0.67173,                      1,                0.99147,                0.90145,                0.33541,                 2.9975,                0.90603,             0.00037842,             0.00037842,             0.00037842
                     11,                  0.532,                 1.2234,                 1.0751,                0.07234,                      1,                  0.995,                0.89732,                0.34379,                 3.0384,                0.91613,             0.00040991,             0.00040991,             0.00040991
                     12,                0.46901,                  1.214,                  1.033,                      1,                 0.8609,                  0.995,                0.87089,                0.39177,                 3.0702,                0.94287,              0.0004406,              0.0004406,              0.0004406
                     13,                0.48291,                 1.2029,                0.98002,                      1,                0.18255,                  0.973,                 0.8428,                0.40698,                 3.0563,                0.94593,              0.0004705,              0.0004705,              0.0004705
                     14,                0.49736,                 1.5819,                 1.0187,                      1,                0.23273,                0.90335,                0.78905,                0.42063,                 3.0729,                0.96396,             0.00049961,             0.00049961,             0.00049961
                     15,                0.55233,                 1.0778,                 1.0295,                      1,                0.42327,                 0.9206,                0.81004,                0.43274,                 3.0007,                0.95438,             0.00052793,             0.00052793,             0.00052793
                     16,                0.68784,                 1.3283,                 1.1551,                      1,                0.70612,                0.98441,                0.92844,                 0.4181,                  2.902,                0.97113,             0.00055546,             0.00055546,             0.00055546
                     17,                0.53254,                  1.054,                0.98619,                      1,                0.76047,                  0.995,                0.88427,                0.45234,                 2.8903,                 1.0009,             0.00058219,             0.00058219,             0.00058219
                     18,                0.73409,                 1.1843,                 1.1299,                      1,                0.83066,                0.97847,                0.88219,                0.41133,                  2.866,                0.97814,             0.00060813,             0.00060813,             0.00060813
                     19,                0.55411,                 1.5143,                 1.0375,                      1,                0.85239,                0.98833,                0.90214,                 0.4305,                 2.7698,                 1.0126,             0.00063328,             0.00063328,             0.00063328
                     20,                0.58859,                 1.1113,                0.98568,                 0.9832,                  0.875,                0.98167,                0.85294,                0.48881,                 2.6195,                 1.0847,             0.00065764,             0.00065764,             0.00065764
                     21,                0.55962,                 1.1315,                0.97171,                 0.9765,                      1,                  0.995,                0.84818,                0.54949,                  2.438,                 1.2029,             0.00068121,             0.00068121,             0.00068121
                     22,                0.51683,                 1.1791,                0.99547,                0.98452,                      1,                  0.995,                0.81245,                0.59988,                 2.3095,                 1.2348,             0.00070398,             0.00070398,             0.00070398
                     23,                0.44714,                 1.1079,                0.98876,                0.92117,                      1,                0.98794,                 0.8809,                0.53549,                 2.3047,                 1.1362,             0.00072596,             0.00072596,             0.00072596
                     24,                0.66267,                 1.5966,                 1.1229,                0.94042,                 0.9871,                0.98794,                0.89045,                0.47038,                 2.3885,                 1.0677,             0.00074715,             0.00074715,             0.00074715
                     25,                0.51636,                  1.207,                 1.0387,                      1,                0.97879,                  0.995,                0.91421,                0.44992,                 2.4555,                 1.0357,             0.00076755,             0.00076755,             0.00076755
                     26,                0.49615,                  1.163,                0.97318,                0.99988,                      1,                  0.995,                0.91282,                0.47779,                 2.5815,                 1.0126,             0.00078716,             0.00078716,             0.00078716
                     27,                0.50554,                 1.1702,                 1.0037,                0.99988,                      1,                  0.995,                0.91282,                0.47779,                 2.5815,                 1.0126,             0.00080597,             0.00080597,             0.00080597
                     28,                0.68231,                 1.7809,                 1.1755,                0.93743,                      1,                0.99147,                0.86122,                0.52799,                 2.6193,                 1.0415,             0.00082399,             0.00082399,             0.00082399
                     29,                0.54243,                 1.3255,                 1.0907,                0.99286,                      1,                  0.995,                0.86926,                0.57027,                 2.3763,                 1.1343,             0.00084122,             0.00084122,             0.00084122
                     30,                0.65172,                 1.0721,                  1.115,                0.99286,                      1,                  0.995,                0.86926,                0.57027,                 2.3763,                 1.1343,             0.00085766,             0.00085766,             0.00085766
