                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                0.59929,                 1.0307,                  1.101,                0.99278,                      1,                  0.995,                0.85517,                0.57127,                 2.2805,                 1.1805,             0.00087331,             0.00087331,             0.00087331
                     32,                0.57187,                 1.0632,                 1.0772,                0.93983,                0.97703,                0.98794,                0.84904,                0.56473,                 2.2573,                 1.1972,             0.00088816,             0.00088816,             0.00088816
                     33,                0.57507,                 1.0553,                 1.0325,                0.93983,                0.97703,                0.98794,                0.84904,                0.56473,                 2.2573,                 1.1972,             0.00090222,             0.00090222,             0.00090222
                     34,                0.63671,                 1.0831,                 1.0146,                0.93661,                0.92419,                0.98794,                0.81334,                 0.6779,                 2.3746,                 1.2838,             0.00091549,             0.00091549,             0.00091549
                     35,                0.64027,                 1.1519,                 1.0961,                0.72493,                0.82409,                0.89034,                0.70168,                0.63625,                 2.5179,                 1.2272,             0.00092797,             0.00092797,             0.00092797
                     36,                0.67465,                 1.1822,                 1.1206,                0.72493,                0.82409,                0.89034,                0.70168,                0.63625,                 2.5179,                 1.2272,             0.00093966,             0.00093966,             0.00093966
                     37,                0.56013,                0.98861,                0.99444,                 0.7081,                0.91044,                 0.8129,                0.70341,                0.56194,                 2.4487,                 1.1096,             0.00095055,             0.00095055,             0.00095055
                     38,                0.82332,                 1.1598,                  1.346,                0.92108,                0.73057,                0.90577,                0.78874,                0.58597,                 2.3237,                 1.1193,             0.00096065,             0.00096065,             0.00096065
                     39,                0.65267,                 1.0481,                 1.0784,                0.92108,                0.73057,                0.90577,                0.78874,                0.58597,                 2.3237,                 1.1193,             0.00096996,             0.00096996,             0.00096996
                     40,                0.67514,                0.99927,                 1.0244,                0.92853,                0.81205,                0.95361,                0.77443,                0.65813,                 2.3161,                 1.1964,             0.00097848,             0.00097848,             0.00097848
                     41,                0.66693,                0.97218,                 1.0697,                0.93705,                0.93078,                0.96884,                0.81529,                0.58519,                 2.1845,                 1.1771,             0.00098621,             0.00098621,             0.00098621
                     42,                0.53175,                0.88353,                   1.02,                0.93705,                0.93078,                0.96884,                0.81529,                0.58519,                 2.1845,                 1.1771,             0.00099314,             0.00099314,             0.00099314
                     43,                0.63011,                0.95295,                 1.0354,                 0.9411,                0.99868,                0.98794,                0.86499,                0.55914,                 1.9632,                 1.1626,             0.00099928,             0.00099928,             0.00099928
                     44,                0.51654,                 1.1494,                 1.0669,                 0.9411,                0.99868,                0.98794,                0.86499,                0.55914,                 1.9632,                 1.1626,              0.0010046,              0.0010046,              0.0010046
                     45,                0.57839,                0.97667,                 1.0135,                0.93249,                 0.9375,                0.98833,                0.75343,                 0.6844,                 1.9585,                 1.2933,              0.0010092,              0.0010092,              0.0010092
                     46,                0.62848,                 1.4925,                  1.035,                0.93249,                 0.9375,                0.98833,                0.75343,                 0.6844,                 1.9585,                 1.2933,               0.001013,               0.001013,               0.001013
                     47,                0.61681,                0.96399,                 1.0201,                0.97165,                      1,                  0.995,                0.77628,                0.71016,                 1.9168,                 1.3045,              0.0010159,              0.0010159,              0.0010159
                     48,                0.56366,                0.81373,                 1.0853,                0.97165,                      1,                  0.995,                0.77628,                0.71016,                 1.9168,                 1.3045,              0.0010181,              0.0010181,              0.0010181
                     49,                0.66251,                0.85653,                  1.134,                0.87216,                      1,                0.98441,                0.86015,                0.53492,                 1.7179,                  1.152,              0.0010195,              0.0010195,              0.0010195
                     50,                0.63628,                 1.0977,                 1.2733,                0.87216,                      1,                0.98441,                0.86015,                0.53492,                 1.7179,                  1.152,                0.00101,                0.00101,                0.00101
                     51,                0.51435,                0.88161,                0.94931,                0.93184,                      1,                0.97676,                0.86864,                 0.5137,                 1.5863,                  1.124,                0.00101,                0.00101,                0.00101
                     52,                0.58466,                0.83696,                 1.0047,                0.93184,                      1,                0.97676,                0.86864,                 0.5137,                 1.5863,                  1.124,              0.0009902,              0.0009902,              0.0009902
                     53,                0.54372,                0.85146,                 1.0286,                0.88065,                      1,                0.95338,                 0.8406,                0.54406,                 1.5728,                 1.1243,              0.0009704,              0.0009704,              0.0009704
                     54,                0.68489,                0.92084,                 1.0253,                0.88065,                      1,                0.95338,                 0.8406,                0.54406,                 1.5728,                 1.1243,              0.0009506,              0.0009506,              0.0009506
                     55,                0.55926,                 1.0017,                 1.0237,                0.90189,                      1,                0.96971,                0.88531,                0.46476,                 1.4622,                 1.0019,              0.0009308,              0.0009308,              0.0009308
                     56,                0.51515,                 1.0799,                 1.0492,                0.90189,                      1,                0.96971,                0.88531,                0.46476,                 1.4622,                 1.0019,               0.000911,               0.000911,               0.000911
                     57,                0.64288,                0.96123,                 1.0766,                0.98364,                      1,                  0.995,                0.94722,                0.45334,                 1.3446,                0.97552,              0.0008912,              0.0008912,              0.0008912
                     58,                0.47814,                0.83164,                0.95245,                0.98364,                      1,                  0.995,                0.94722,                0.45334,                 1.3446,                0.97552,              0.0008714,              0.0008714,              0.0008714
                     59,                0.60126,                0.92853,                 1.1351,                      1,                0.99349,                  0.995,                0.91686,                0.42502,                  1.312,                0.96022,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.6944,                0.89949,                 1.0873,                      1,                0.99349,                  0.995,                0.91686,                0.42502,                  1.312,                0.96022,              0.0008318,              0.0008318,              0.0008318
                     61,                0.63707,                0.85523,                 1.0475,                0.97323,                      1,                  0.995,                0.92976,                0.41519,                 1.2884,                0.95571,               0.000812,               0.000812,               0.000812
                     62,                0.61818,                0.91264,                0.98062,                0.97323,                      1,                  0.995,                0.92976,                0.41519,                 1.2884,                0.95571,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.5212,                0.75989,                0.89663,                0.93891,                0.96154,                0.99147,                0.93179,                0.44672,                 1.2765,                0.99323,              0.0007724,              0.0007724,              0.0007724
                     64,                0.47035,                0.81687,                 1.0012,                0.93891,                0.96154,                0.99147,                0.93179,                0.44672,                 1.2765,                0.99323,              0.0007526,              0.0007526,              0.0007526
                     65,                0.59986,                0.96676,                 1.1051,                0.82927,                 0.9375,                0.96033,                0.86071,                0.50015,                 1.4327,                 1.0227,              0.0007328,              0.0007328,              0.0007328
                     66,                0.73179,                  1.027,                 1.1625,                0.82927,                 0.9375,                0.96033,                0.86071,                0.50015,                 1.4327,                 1.0227,               0.000713,               0.000713,               0.000713
                     67,                0.49628,                0.94036,                0.97763,                 0.9356,                 0.9375,                  0.983,                0.88225,                 0.4899,                 1.4286,                 1.0185,              0.0006932,              0.0006932,              0.0006932
                     68,                0.59153,                0.90792,                 1.0702,                 0.9356,                 0.9375,                  0.983,                0.88225,                 0.4899,                 1.4286,                 1.0185,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.5977,                 1.0672,                  1.131,                0.96956,                  0.875,                0.97847,                0.86064,                0.48692,                 1.3772,                 1.0206,              0.0006536,              0.0006536,              0.0006536
                     70,                0.50921,                0.82224,                0.93066,                0.96956,                  0.875,                0.97847,                0.86064,                0.48692,                 1.3772,                 1.0206,              0.0006338,              0.0006338,              0.0006338
                     71,                0.63667,                0.86217,                 1.1393,                0.93547,                      1,                0.98794,                 0.8809,                0.45878,                 1.3334,                0.99411,               0.000614,               0.000614,               0.000614
                     72,                 0.7289,                 1.3855,                 1.1682,                0.93547,                      1,                0.98794,                 0.8809,                0.45878,                 1.3334,                0.99411,              0.0005942,              0.0005942,              0.0005942
                     73,                0.51482,                0.75719,                0.96652,                 0.9381,                0.94775,                0.99147,                 0.8966,                0.42643,                 1.3384,                0.95966,              0.0005744,              0.0005744,              0.0005744
                     74,                0.46528,                0.71657,                  0.989,                 0.9381,                0.94775,                0.99147,                 0.8966,                0.42643,                 1.3384,                0.95966,              0.0005546,              0.0005546,              0.0005546
                     75,                0.37991,                0.74532,                 0.8937,                0.79441,                      1,                0.96233,                0.89397,                 0.3901,                 1.4249,                0.93815,              0.0005348,              0.0005348,              0.0005348
                     76,                0.50803,                0.81108,                 1.0333,                0.79441,                      1,                0.96233,                0.89397,                 0.3901,                 1.4249,                0.93815,               0.000515,               0.000515,               0.000515
                     77,                0.43456,                0.80279,                 0.9357,                0.87362,                 0.9375,                0.97447,                0.91055,                0.37333,                 1.4216,                0.92842,              0.0004952,              0.0004952,              0.0004952
                     78,                0.51926,                0.77005,                  1.008,                0.87362,                 0.9375,                0.97447,                0.91055,                0.37333,                 1.4216,                0.92842,              0.0004754,              0.0004754,              0.0004754
                     79,                0.65074,                0.90654,                 1.1356,                0.88878,                0.99896,                0.98083,                0.93373,                0.35718,                  1.324,                 0.9188,              0.0004556,              0.0004556,              0.0004556
                     80,                0.64382,                0.89865,                 1.1571,                0.88878,                0.99896,                0.98083,                0.93373,                0.35718,                  1.324,                 0.9188,              0.0004358,              0.0004358,              0.0004358
                     81,                0.34948,                0.76366,                0.91369,                0.93964,                0.97388,                0.99147,                0.91248,                0.34218,                 1.3174,                0.89941,               0.000416,               0.000416,               0.000416
                     82,                0.45489,                0.76242,                 1.0151,                0.93964,                0.97388,                0.99147,                0.91248,                0.34218,                 1.3174,                0.89941,              0.0003962,              0.0003962,              0.0003962
                     83,                0.38391,                0.71344,                0.92974,                0.93441,                      1,                  0.995,                0.93805,                0.33964,                  1.277,                0.89117,              0.0003764,              0.0003764,              0.0003764
                     84,                0.61648,                0.88127,                 1.0586,                0.93441,                      1,                  0.995,                0.93805,                0.33964,                  1.277,                0.89117,              0.0003566,              0.0003566,              0.0003566
                     85,                 0.5109,                0.76817,                0.98522,                 0.9393,                      1,                  0.995,                0.94205,                0.33116,                 1.2001,                0.88149,              0.0003368,              0.0003368,              0.0003368
                     86,                0.42446,                0.71897,                0.94415,                 0.9393,                      1,                  0.995,                0.94205,                0.33116,                 1.2001,                0.88149,               0.000317,               0.000317,               0.000317
                     87,                0.48543,                0.88184,                0.98477,                0.96952,                      1,                  0.995,                0.94065,                0.31359,                 1.1156,                0.86917,              0.0002972,              0.0002972,              0.0002972
                     88,                0.48925,                0.95364,                 1.0236,                0.96952,                      1,                  0.995,                0.94065,                0.31359,                 1.1156,                0.86917,              0.0002774,              0.0002774,              0.0002774
                     89,                0.43412,                0.70084,                 1.0114,                0.97784,                      1,                  0.995,                0.97826,                0.28943,                 1.0249,                0.85321,              0.0002576,              0.0002576,              0.0002576
                     90,                  0.874,                 1.4583,                 1.3157,                0.97784,                      1,                  0.995,                0.97826,                0.28943,                 1.0249,                0.85321,              0.0002378,              0.0002378,              0.0002378
                     91,                0.29662,                 1.3039,                0.87625,                0.99178,                      1,                  0.995,                0.97707,                0.27685,                0.96064,                0.84415,               0.000218,               0.000218,               0.000218
                     92,                0.53124,                 1.2846,                  1.077,                0.99178,                      1,                  0.995,                0.97707,                0.27685,                0.96064,                0.84415,              0.0001982,              0.0001982,              0.0001982
                     93,                0.41056,                 1.2852,                0.97434,                0.99519,                      1,                  0.995,                0.97754,                0.27151,                0.92103,                0.83518,              0.0001784,              0.0001784,              0.0001784
                     94,                0.42101,                 1.2937,                 1.1037,                0.99519,                      1,                  0.995,                0.97754,                0.27151,                0.92103,                0.83518,              0.0001586,              0.0001586,              0.0001586
                     95,                0.29785,                0.95201,                0.91244,                0.99583,                      1,                  0.995,                0.97808,                0.27297,                0.90294,                0.83492,              0.0001388,              0.0001388,              0.0001388
                     96,                0.36436,                 1.1061,                 1.0431,                0.99583,                      1,                  0.995,                0.97808,                0.27297,                0.90294,                0.83492,               0.000119,               0.000119,               0.000119
                     97,                0.37056,                 1.2908,                0.93472,                0.99587,                      1,                  0.995,                0.97286,                0.27075,                0.90551,                0.83459,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.44387,                 1.0281,                 1.0481,                0.99587,                      1,                  0.995,                0.97286,                0.27075,                0.90551,                0.83459,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.33237,                0.94869,                0.81619,                0.99586,                      1,                  0.995,                  0.979,                0.26601,                0.89544,                0.82988,               5.96e-05,               5.96e-05,               5.96e-05
